================================================================
                    RESTAURANT SIMULATOR                       
                        ORDER LOG                              
================================================================

TF    ID    TQ    TA    TR    TS    Ti    TC    Tw    Tserv
----------------------------------------------------------------
87    428   48    48    49    82    33    1     34    5     
86    446   50    50    51    82    31    1     32    4     
85    437   49    49    50    82    32    1     33    3     
85    374   42    42    43    80    37    1     38    5     
85    419   47    47    48    81    33    1     34    4     
85    383   43    43    44    80    36    1     37    5     
84    410   46    46    47    81    34    1     35    3     
84    338   38    38    39    79    40    1     41    5     
83    401   45    45    46    80    34    1     35    3     
83    329   37    37    38    79    41    1     42    4     
82    392   44    44    45    80    35    1     36    2     
82    365   41    41    42    79    37    1     38    3     
82    356   40    40    41    79    38    1     39    3     
81    347   39    39    40    79    39    1     40    2     
81    320   36    36    37    78    41    1     42    3     
81    293   33    33    34    76    42    1     43    5     
80    311   35    35    36    77    41    1     42    3     
80    284   32    32    33    76    43    1     44    4     
80    248   28    28    29    75    46    1     47    5     
79    275   31    31    32    76    44    1     45    3     
79    266   30    30    31    76    45    1     46    3     
79    239   27    27    28    75    47    1     48    4     
79    203   23    23    24    74    50    1     51    5     
78    302   34    34    35    76    41    1     42    2     
78    257   29    29    30    76    46    1     47    2     
78    230   26    26    27    75    48    1     49    3     
78    221   25    25    26    75    49    1     50    3     
78    194   22    22    23    74    51    1     52    4     
78    158   18    18    19    73    54    1     55    5     
76    212   24    24    25    74    49    1     50    2     
76    167   19    19    20    73    53    1     54    3     
76    140   16    16    17    72    55    1     56    4     
76    185   21    21    22    73    51    1     52    3     
76    176   20    20    21    73    52    1     53    3     
76    149   17    17    18    72    54    1     55    4     
76    113   13    13    14    71    57    1     58    5     
75    450   50    50    52    71    19    2     21    4     
74    131   15    15    16    71    55    1     56    3     
74    122   14    14    15    71    56    1     57    3     
74    420   47    47    49    69    20    2     22    5     
74    423   47    47    49    69    20    2     22    5     
73    429   48    48    50    70    20    2     22    3     
73    447   50    50    51    70    19    1     20    3     
73    438   49    49    51    70    19    2     21    3     
73    441   49    49    50    70    20    1     21    3     
72    432   48    48    49    70    21    1     22    2     
72    402   45    45    46    68    22    1     23    4     
72    411   46    46    48    68    20    2     22    4     
72    414   46    46    48    68    20    2     22    4     
71    405   45    45    46    67    21    1     22    4     
71    387   43    43    45    66    21    2     23    5     
71    416   47    47    49    52    3     2     5     19    
70    393   44    44    46    67    21    2     23    3     
70    375   42    42    44    65    21    2     23    5     
69    378   42    42    44    65    21    2     23    4     
69    366   41    41    43    65    22    2     24    4     
69    351   39    39    41    64    23    2     25    5     
68    396   44    44    45    66    21    1     22    2     
68    384   43    43    45    66    21    2     23    2     
68    369   41    41    42    65    23    1     24    3     
68    357   40    40    41    65    24    1     25    3     
68    342   38    38    40    64    24    2     26    4     
68    449   50    50    51    55    4     1     5     13    
68    407   46    46    47    50    3     1     4     18    
67    348   39    39    41    64    23    2     25    3     
67    330   37    37    39    62    23    2     25    5     
67    443   50    50    51    55    4     1     5     12    
67    433   49    49    50    53    3     1     4     14    
66    360   40    40    41    64    23    1     24    2     
66    321   36    36    38    62    24    2     26    4     
66    315   35    35    37    61    24    2     26    5     
66    398   45    45    46    49    3     1     4     17    
65    333   37    37    38    62    24    1     25    3     
65    276   31    31    33    60    27    2     29    5     
65    306   34    34    36    61    25    2     27    4     
65    285   32    32    34    60    26    2     28    5     
65    279   31    31    33    60    27    2     29    5     
65    442   50    50    51    55    4     1     5     10    
65    440   49    49    50    53    3     1     4     12    
65    424   48    48    49    52    3     1     4     13    
64    339   38    38    40    62    22    2     24    2     
64    312   35    35    36    61    25    1     26    3     
64    303   34    34    36    61    25    2     27    3     
64    434   49    49    50    53    3     1     4     11    
64    413   46    46    47    50    3     1     4     14    
64    389   44    44    45    48    3     1     4     16    
63    324   36    36    37    61    24    1     25    2     
63    294   33    33    35    61    26    2     28    2     
63    270   30    30    32    60    28    2     30    3     
63    258   29    29    31    59    28    2     30    4     
63    240   27    27    29    58    29    2     31    5     
63    297   33    33    34    60    26    1     27    3     
63    267   30    30    31    60    29    1     30    3     
63    243   27    27    29    58    29    2     31    5     
63    431   48    48    49    52    3     1     4     11    
63    380   43    43    45    48    3     2     5     15    
62    288   32    32    33    60    27    1     28    2     
62    261   29    29    30    59    29    1     30    3     
62    425   48    48    50    52    2     2     4     10    
62    415   47    47    48    50    2     1     3     12    
62    404   45    45    46    49    3     1     4     13    
62    388   44    44    45    48    3     1     4     14    
61    231   26    26    28    57    29    2     31    4     
61    422   47    47    48    51    3     1     4     10    
61    406   46    46    47    50    3     1     4     11    
61    379   43    43    44    48    4     1     5     13    
61    371   42    42    44    47    3     2     5     14    
60    249   28    28    30    58    28    2     30    2     
60    252   28    28    29    58    29    1     30    2     
60    234   26    26    28    56    28    2     30    4     
60    207   23    23    25    55    30    2     32    5     
60    395   44    44    45    48    3     1     4     12    
60    326   37    37    39    41    2     2     4     19    
59    213   24    24    26    56    30    2     32    3     
59    222   25    25    26    56    30    1     31    3     
59    225   25    25    26    56    30    1     31    3     
59    195   22    22    24    54    30    2     32    5     
59    397   45    45    46    49    3     1     4     10    
59    386   43    43    44    48    4     1     5     11    
59    368   41    41    42    45    3     1     4     14    
58    362   41    41    42    45    3     1     4     13    
58    359   40    40    41    45    4     1     5     13    
58    317   36    36    37    40    3     1     4     18    
57    216   24    24    25    55    30    1     31    2     
57    448   50    50    52    54    2     2     4     3     
57    439   49    49    51    54    3     2     5     3     
57    198   22    22    24    53    29    2     31    4     
57    186   21    21    23    53    30    2     32    4     
57    370   42    42    43    45    2     1     3     12    
57    353   40    40    41    45    4     1     5     12    
56    204   23    23    25    54    29    2     31    2     
56    421   47    47    49    51    2     2     4     5     
56    361   41    41    42    45    3     1     4     11    
56    350   39    39    40    44    4     1     5     12    
56    343   39    39    40    42    2     1     3     14    
55    377   42    42    43    45    2     1     3     10    
55    352   40    40    41    45    4     1     5     10    
55    308   35    35    36    38    2     1     3     17    
54    430   48    48    50    52    2     2     4     2     
54    412   46    46    48    50    2     2     4     4     
54    334   38    38    39    41    2     1     3     13    
54    323   36    36    37    40    3     1     4     14    
53    189   21    21    22    50    28    1     29    3     
53    344   39    39    40    42    2     1     3     11    
53    341   38    38    39    42    3     1     4     11    
52    444   50    50    51    51    0     1     1     1     
52    403   45    45    47    49    2     2     4     3     
52    171   19    19    21    47    26    2     28    5     
52    335   38    38    40    42    2     2     4     10    
52    325   37    37    38    40    2     1     3     12    
52    314   35    35    36    39    3     1     4     13    
52    299   34    34    35    36    1     1     2     16    
51    435   49    49    50    50    0     1     1     1     
51    177   20    20    21    48    27    1     28    3     
51    316   36    36    37    40    3     1     4     11    
51    290   33    33    35    36    1     2     3     15    
50    426   48    48    49    49    0     1     1     1     
50    180   20    20    21    48    27    1     28    2     
50    394   44    44    46    47    1     2     3     3     
50    332   37    37    38    40    2     1     3     10    
50    298   34    34    35    36    1     1     2     14    
50    236   27    27    29    31    2     2     4     19    
49    417   47    47    48    48    0     1     1     1     
49    376   42    42    44    44    0     2     2     5     
49    305   34    34    35    37    2     1     3     12    
49    281   32    32    34    35    1     2     3     14    
48    408   46    46    47    47    0     1     1     1     
48    385   43    43    45    46    1     2     3     2     
48    307   35    35    36    38    2     1     3     10    
48    289   33    33    34    35    1     1     2     13    
48    278   31    31    32    34    2     1     3     14    
47    399   45    45    46    46    0     1     1     1     
47    168   19    19    21    44    23    2     25    3     
47    367   41    41    43    43    0     2     2     4     
47    296   33    33    34    36    2     1     3     11    
47    253   29    29    30    33    3     1     4     14    
47    227   26    26    27    29    2     1     3     18    
46    390   44    44    45    45    0     1     1     1     
46    280   32    32    33    34    1     1     2     12    
46    272   31    31    32    33    1     1     2     13    
46    269   30    30    31    33    2     1     3     13    
45    381   43    43    44    44    0     1     1     1     
45    358   40    40    42    42    0     2     2     3     
45    263   30    30    31    33    2     1     3     12    
45    260   29    29    30    33    3     1     4     12    
45    218   25    25    26    28    2     1     3     17    
44    372   42    42    43    43    0     1     1     1     
44    162   18    18    20    41    21    2     23    3     
44    349   39    39    41    41    0     2     2     3     
44    331   37    37    39    39    0     2     2     5     
44    287   32    32    33    34    1     1     2     10    
44    271   31    31    32    33    1     1     2     11    
44    254   29    29    30    33    3     1     4     11    
44    244   28    28    29    31    2     1     3     13    
43    363   41    41    42    42    0     1     1     1     
43    150   17    17    19    38    19    2     21    5     
43    262   30    30    31    33    2     1     3     10    
43    233   26    26    27    29    2     1     3     14    
42    354   40    40    41    41    0     1     1     1     
42    340   38    38    40    40    0     2     2     2     
42    322   36    36    38    38    0     2     2     4     
42    245   28    28    30    32    2     2     4     10    
42    251   28    28    29    31    2     1     3     11    
42    235   27    27    28    30    2     1     3     12    
42    209   24    24    25    26    1     1     2     16    
41    345   39    39    40    40    0     1     1     1     
41    159   18    18    20    39    19    2     21    2     
41    313   35    35    37    38    1     2     3     3     
41    224   25    25    26    28    2     1     3     13    
40    336   38    38    39    39    0     1     1     1     
40    242   27    27    28    30    2     1     3     10    
40    226   26    26    27    29    2     1     3     11    
40    215   24    24    25    28    3     1     4     12    
40    208   24    24    25    26    1     1     2     14    
40    200   23    23    25    25    0     2     2     15    
39    327   37    37    38    38    0     1     1     1     
39    141   16    16    18    34    16    2     18    5     
39    153   17    17    18    36    18    1     19    3     
39    304   34    34    36    36    0     2     2     3     
39    286   32    32    34    34    0     2     2     5     
39    146   17    17    19    20    1     2     3     19    
38    318   36    36    37    37    0     1     1     1     
38    295   33    33    35    36    1     2     3     2     
38    135   15    15    17    33    16    2     18    5     
38    217   25    25    26    28    2     1     3     10    
38    199   23    23    24    25    1     1     2     13    
38    191   22    22    24    24    0     2     2     14    
37    309   35    35    36    36    0     1     1     1     
37    126   14    14    16    33    17    2     19    4     
37    277   31    31    33    33    0     2     2     4     
37    188   21    21    22    23    1     1     2     14    
36    300   34    34    35    35    0     1     1     1     
36    144   16    16    17    34    17    1     18    2     
36    123   14    14    16    33    17    2     19    3     
36    132   15    15    16    33    17    1     18    3     
36    206   23    23    24    25    1     1     2     11    
36    190   22    22    23    24    1     1     2     12    
36    182   21    21    22    23    1     1     2     13    
36    137   16    16    17    18    1     1     2     18    
35    291   33    33    34    34    0     1     1     1     
35    268   30    30    32    32    0     2     2     3     
35    259   29    29    31    32    1     2     3     3     
35    179   20    20    21    22    1     1     2     13    
35    163   19    19    20    21    1     1     2     14    
34    282   32    32    33    33    0     1     1     1     
34    114   13    13    15    32    17    2     19    2     
34    104   12    12    13    29    16    1     17    5     
34    105   12    12    14    29    15    2     17    5     
34    241   27    27    29    29    0     2     2     5     
34    197   22    22    23    24    1     1     2     10    
34    181   21    21    22    23    1     1     2     11    
34    128   15    15    16    17    1     1     2     17    
33    273   31    31    32    32    0     1     1     1     
33    117   13    13    14    30    16    1     17    3     
33    99    11    11    13    28    15    2     17    5     
33    173   20    20    21    21    0     1     1     12    
33    170   19    19    20    21    1     1     2     12    
33    154   18    18    19    20    1     1     2     13    
33    143   16    16    17    19    2     1     3     14    
33    119   14    14    15    17    2     1     3     16    
32    264   30    30    31    31    0     1     1     1     
32    250   28    28    30    30    0     2     2     2     
32    96    11    11    13    28    15    2     17    4     
32    238   27    27    28    28    0     1     1     4     
32    232   26    26    28    28    0     2     2     4     
32    172   20    20    21    22    1     1     2     10    
32    164   19    19    20    21    1     1     2     11    
31    255   29    29    30    30    0     1     1     1     
31    247   28    28    29    29    0     1     1     2     
31    108   12    12    13    29    16    1     17    2     
31    161   18    18    19    20    1     1     2     11    
31    145   17    17    18    19    1     1     2     12    
31    134   15    15    16    18    2     1     3     13    
31    118   14    14    15    17    2     1     3     14    
30    246   28    28    29    29    0     1     1     1     
30    95    11    11    12    27    15    1     16    3     
30    229   26    26    27    27    0     1     1     3     
30    223   25    25    27    27    0     2     2     3     
30    155   18    18    20    20    0     2     2     10    
30    110   13    13    15    15    0     2     2     15    
29    237   27    27    28    28    0     1     1     1     
29    202   23    23    24    24    0     1     1     5     
29    214   24    24    26    26    0     2     2     3     
29    196   22    22    24    24    0     2     2     5     
29    152   17    17    18    19    1     1     2     10    
29    136   16    16    17    18    1     1     2     11    
29    125   14    14    15    17    2     1     3     12    
28    228   26    26    27    27    0     1     1     1     
28    90    10    10    12    24    12    2     14    4     
28    187   21    21    23    24    1     2     3     4     
28    127   15    15    16    18    2     1     3     10    
28    101   12    12    14    14    0     2     2     14    
28    56    7     7     9     9     0     2     2     19    
27    219   25    25    26    26    0     1     1     1     
27    205   23    23    25    25    0     2     2     2     
27    86    10    10    11    24    13    1     14    3     
27    87    10    10    11    24    13    1     14    3     
27    78    9     9     11    24    13    2     15    3     
27    109   13    13    14    14    0     1     1     13    
26    210   24    24    25    25    0     1     1     1     
26    98    11    11    12    12    0     1     1     14    
25    201   23    23    24    24    0     1     1     1     
25    81    9     9     10    22    12    1     13    3     
25    184   21    21    22    22    0     1     1     3     
25    178   20    20    22    22    0     2     2     3     
25    116   13    13    14    14    0     1     1     11    
25    100   12    12    13    13    0     1     1     12    
25    92    11    11    12    12    0     1     1     13    
25    47    6     6     7     7     0     1     1     18    
24    192   22    22    23    23    0     1     1     1     
24    77    9     9     10    22    12    1     13    2     
24    169   19    19    21    21    0     2     2     3     
24    151   17    17    19    19    0     2     2     5     
24    89    10    10    11    11    0     1     1     13    
24    73    9     9     10    10    0     1     1     14    
23    183   21    21    22    22    0     1     1     1     
23    175   20    20    21    21    0     1     1     2     
