================================================================
                    RESTAURANT SIMULATOR                       
                        ORDER LOG                              
================================================================

TF    ID    TQ    TA    TR    TS    Ti    TC    Tw    Tserv
23    166   19    19    20    20    0     1     1     3     
23    142   16    16    18    19    1     2     3     4     
23    107   12    12    13    13    0     1     1     10    
23    91    11    11    12    12    0     1     1     11    
23    83    10    10    11    11    0     1     1     12    
23    38    5     5     6     6     0     1     1     17    
22    174   20    20    21    21    0     1     1     1     
22    69    8     8     10    20    10    2     12    2     
22    160   18    18    20    20    0     2     2     2     
22    80    9     9     10    10    0     1     1     12    
22    64    8     8     9     9     0     1     1     13    
21    165   19    19    20    20    0     1     1     1     
21    148   17    17    18    18    0     1     1     3     
21    133   15    15    17    18    1     2     3     3     
21    124   14    14    16    18    2     2     4     3     
21    68    8     8     9     16    7     1     8     5     
21    82    10    10    11    11    0     1     1     10    
21    74    9     9     10    10    0     1     1     11    
21    53    6     6     7     7     0     1     1     14    
21    29    4     4     5     5     0     1     1     16    
20    156   18    18    19    19    0     1     1     1     
20    130   15    15    16    16    0     1     1     4     
20    106   12    12    14    15    1     2     3     5     
20    65    8     8     10    10    0     2     2     10    
20    71    8     8     9     9     0     1     1     11    
20    55    7     7     8     8     0     1     1     12    
20    20    3     3     5     5     0     2     2     15    
19    147   17    17    18    18    0     1     1     1     
19    115   13    13    15    17    2     2     4     2     
19    44    5     5     6     6     0     1     1     13    
19    28    4     4     5     5     0     1     1     14    
18    138   16    16    17    17    0     1     1     1     
18    72    8     8     9     15    6     1     7     3     
18    121   14    14    15    15    0     1     1     3     
18    97    11    11    13    14    1     2     3     4     
18    62    7     7     8     8     0     1     1     10    
18    46    6     6     7     7     0     1     1     11    
18    11    2     2     4     4     0     2     2     14    
17    129   15    15    16    16    0     1     1     1     
17    51    6     6     8     12    4     2     6     5     
17    112   13    13    14    14    0     1     1     3     
17    60    7     7     9     12    3     2     5     5     
17    63    7     7     9     12    3     2     5     5     
17    35    4     4     5     5     0     1     1     12    
17    19    3     3     4     4     0     1     1     13    
16    120   14    14    15    15    0     1     1     1     
16    59    7     7     8     12    4     1     5     4     
16    54    6     6     8     12    4     2     6     4     
16    94    11    11    12    12    0     1     1     4     
16    37    5     5     6     6     0     1     1     10    
15    111   13    13    14    14    0     1     1     1     
15    103   12    12    13    13    0     1     1     2     
15    88    10    10    12    12    0     2     2     3     
15    79    9     9     11    12    1     2     3     3     
15    26    3     3     4     4     0     1     1     11    
15    10    2     2     3     3     0     1     1     12    
15    2     1     1     2     2     0     1     1     13    
14    102   12    12    13    13    0     1     1     1     
14    61    7     7     9     9     0     2     2     5     
13    93    11    11    12    12    0     1     1     1     
13    70    8     8     10    11    1     2     3     2     
13    52    6     6     8     9     1     2     3     4     
13    17    2     2     3     3     0     1     1     10    
13    8     1     1     2     2     0     1     1     11    
13    1     1     1     2     2     0     1     1     11    
12    84    10    10    11    11    0     1     1     1     
12    50    6     6     7     9     2     1     3     3     
11    75    9     9     10    10    0     1     1     1     
11    67    8     8     9     9     0     1     1     2     
11    43    5     5     7     8     1     2     3     3     
10    66    8     8     9     9     0     1     1     1     
10    27    3     3     5     5     0     2     2     5     
10    16    2     2     4     4     0     2     2     6     
9     57    7     7     8     8     0     1     1     1     
9     41    5     5     6     6     0     1     1     3     
9     42    5     5     6     6     0     1     1     3     
9     45    5     5     6     6     0     1     1     3     
9     33    4     4     6     6     0     2     2     3     
9     40    5     5     6     6     0     1     1     3     
9     34    4     4     6     6     0     2     2     3     
9     15    2     2     4     4     0     2     2     5     
8     48    6     6     7     7     0     1     1     1     
8     23    3     3     4     4     0     1     1     4     
8     18    2     2     4     4     0     2     2     4     
8     22    3     3     4     4     0     1     1     4     
7     39    5     5     6     6     0     1     1     1     
7     32    4     4     5     5     0     1     1     2     
7     36    4     4     5     5     0     1     1     2     
7     24    3     3     5     5     0     2     2     2     
7     31    4     4     5     5     0     1     1     2     
7     25    3     3     5     5     0     2     2     2     
7     13    2     2     3     3     0     1     1     4     
7     14    2     2     3     3     0     1     1     4     
7     6     1     1     3     3     0     2     2     4     
7     7     1     1     2     2     0     1     1     5     
6     30    4     4     5     5     0     1     1     1     
5     21    3     3     4     4     0     1     1     1     
5     5     1     1     2     2     0     1     1     3     
5     9     1     1     2     2     0     1     1     3     
5     4     1     1     2     2     0     1     1     3     
4     12    2     2     3     3     0     1     1     1     
3     3     1     1     2     2     0     1     1     1     
----------------------------------------------------------------

================================================================
                        STATISTICS                             
================================================================

  [1] Order Counts
      +-----------------------+-------+
      | Total Orders          | 450   |
      +-----------------------+-------+
      | Dine-in Grilled (ODG) | 50    |
      | Dine-in Normal  (ODN) | 100   |
      | Takeaway        (OT)  | 50    |
      | Delivery Cold   (OVC) | 50    |
      | Delivery Grilled(OVG) | 100   |
      | Delivery Normal (OVN) | 50    |
      | Combo                 | 50    |
      +-----------------------+-------+

  [2] Chef Counts
      +-----------------------+-------+
      | Total Chefs           | 37    |
      +-----------------------+-------+
      | Normal Chefs    (CN)  | 25    |
      | Special Chefs   (CS)  | 12    |
      +-----------------------+-------+

  [3] Scooter Counts
      +-----------------------+-------+
      | Total Scooters        | 530   |
      +-----------------------+-------+
      | Normal Scooters       | 30    |
      | Rescue Scooters       | 500   |
      | Rescue Missions       | 29    |
      +-----------------------+-------+

  [4] Order Outcomes
      +-----------------------+--------+
      | Finished Orders %     | 93.11% |
      | Cancelled Orders %    | 6.89 % |
      | Overwait Orders %     | 17.11% |
      +-----------------------+--------+

  [5] Averages  (finished orders)
      +-----------------------+-------+
      | Avg Ti                | 9.41  |
      | Avg TC                | 1.32  |
      | Avg Tw                | 10.73 |
      | Avg Tserv             | 6.52  |
      +-----------------------+-------+

  [6] Utilization
      +-----------------------+--------+
      | Chefs Util %          | 19.78% |
      | Scooters Util %       | 64.83% |
      | (rescue scooters excluded)     |
      +-----------------------+--------+

================================================================
