TF 	ID 	TQ 	TA 	TR 	TS 	Ti 	TC 	Tw 	Tserv
50	169	25	25	26	39	13	1	14	11
50	142	21	21	23	33	10	2	12	17
49	62	9	9	12	40	28	3	31	9
49	162	24	24	25	39	14	1	15	10
49	135	20	20	23	33	10	3	13	16
48	170	25	25	28	39	11	3	14	9
48	128	19	19	22	33	11	3	14	15
47	163	24	24	26	39	13	2	15	8
47	55	8	8	10	38	28	2	30	9
47	155	23	23	25	38	13	2	15	9
44	148	22	22	24	36	12	2	14	8
43	48	7	7	9	35	26	2	28	8
43	121	18	18	21	29	8	3	11	14
43	127	19	19	20	28	8	1	9	15
42	276	40	40	41	41	0	1	1	1
41	269	39	39	40	40	0	1	1	1
41	120	18	18	19	27	8	1	9	14
40	262	38	38	39	39	0	1	1	1
40	141	21	21	22	33	11	1	12	7
39	255	37	37	38	38	0	1	1	1
39	113	17	17	19	26	7	2	9	13
39	114	17	17	19	26	7	2	9	13
38	248	36	36	37	37	0	1	1	1
38	34	5	5	8	29	21	3	24	9
38	41	6	6	8	30	22	2	24	8
38	72	11	11	14	19	5	3	8	19
37	241	35	35	36	36	0	1	1	1
37	65	10	10	12	19	7	2	9	18
36	234	34	34	35	35	0	1	1	1
36	106	16	16	18	24	6	2	8	12
36	58	9	9	11	19	8	2	10	17
35	227	33	33	34	34	0	1	1	1
35	134	20	20	21	29	8	1	9	6
35	107	16	16	18	23	5	2	7	12
34	220	32	32	33	33	0	1	1	1
34	100	15	15	17	23	6	2	8	11
34	99	15	15	16	23	7	1	8	11
33	213	31	31	32	32	0	1	1	1
33	27	4	4	7	26	19	3	22	7
33	93	14	14	16	23	7	2	9	10
32	206	30	30	31	31	0	1	1	1
31	199	29	29	30	30	0	1	1	1
31	20	3	3	6	24	18	3	21	7
30	192	28	28	29	29	0	1	1	1
30	86	13	13	16	21	5	3	8	9
29	185	27	27	28	28	0	1	1	1
29	92	14	14	15	19	4	1	5	10
28	178	26	26	27	27	0	1	1	1
28	85	13	13	14	19	5	1	6	9
27	171	25	25	26	26	0	1	1	1
27	79	12	12	15	19	4	3	7	8
27	78	12	12	13	19	6	1	7	8
26	164	24	24	25	25	0	1	1	1
26	71	11	11	13	19	6	2	8	7
26	51	8	8	10	10	0	2	2	16
25	157	23	23	24	24	0	1	1	1
25	64	10	10	12	19	7	2	9	6
25	57	9	9	10	10	0	1	1	15
24	150	22	22	23	23	0	1	1	1
24	44	7	7	9	9	0	2	2	15
23	143	21	21	22	22	0	1	1	1
23	53	8	8	9	14	5	1	6	9
23	50	8	8	9	9	0	1	1	14
23	37	6	6	9	9	0	3	3	14
22	136	20	20	21	21	0	1	1	1
22	13	2	2	4	15	11	2	13	7
22	60	9	9	10	14	4	1	5	8
21	129	19	19	20	20	0	1	1	1
21	43	7	7	8	8	0	1	1	13
21	30	5	5	8	8	0	3	3	13
20	122	18	18	19	19	0	1	1	1
19	115	17	17	18	18	0	1	1	1
19	12	2	2	3	14	11	1	12	5
19	46	7	7	8	12	4	1	5	7
19	36	6	6	7	7	0	1	1	12
19	23	4	4	7	7	0	3	3	12
18	108	16	16	17	17	0	1	1	1
18	29	5	5	7	7	0	2	2	11
17	101	15	15	16	16	0	1	1	1
16	94	14	14	15	15	0	1	1	1
16	22	4	4	6	6	0	2	2	10
16	16	3	3	5	5	0	2	2	11
15	87	13	13	14	14	0	1	1	1
14	80	12	12	13	13	0	1	1	1
14	9	2	2	4	4	0	2	2	10
13	73	11	11	12	12	0	1	1	1
13	15	3	3	4	4	0	1	1	9
12	66	10	10	11	11	0	1	1	1
12	2	1	1	3	3	0	2	2	9
11	59	9	9	10	10	0	1	1	1
11	8	2	2	3	3	0	1	1	8
10	52	8	8	9	9	0	1	1	1
9	45	7	7	8	8	0	1	1	1
9	6	1	1	3	3	0	2	2	6
9	1	1	1	2	2	0	1	1	7
8	38	6	6	7	7	0	1	1	1
8	7	1	1	2	2	0	1	1	6
7	31	5	5	6	6	0	1	1	1
7	5	1	1	2	2	0	1	1	5
6	24	4	4	5	5	0	1	1	1
5	17	3	3	4	4	0	1	1	1
4	10	2	2	3	3	0	1	1	1
3	3	1	1	2	2	0	1	1	1

================ Statistics ================

1- Total number of orders and total number of each order type = 280
	ODG = 40
	ODN = 40
	OT  = 40
	OVC = 40
	OVG = 40
	OVN = 40
	Combo  = 40
2- Total number of chefs and total number of each type = 24
	CN = 16
	CS = 8
3- Total number of scooters and total number of each type  = 305
	Normal scooters count = 5
	Rescue scooters count = 300
	Rescue missions = 16
4- Percentage of finished orders and percentage of cancelled orders
	Finished Orders % = 92.8571%
	Cancelled Orders % = 7.14286%
5- Overwait Orders % = 13.9286%
6- Average for Ti TC Tw Tserv for all finished orders
	Average Ti = 190.496
	Average TC = 1.81538
	Average Tw = 192.312
	Average Tserv = 9.68077
7- Scooters Utilization % = 82.3154% (Rescue scooters not counted in Utilization)
8- Chefs Utilization % = 2.53722%
