================================================================
                    RESTAURANT SIMULATOR                       
                        ORDER LOG                              
================================================================

TF    ID    TQ    TA    TR    TS    Ti    TC    Tw    Tserv
39    255   37    37    38    38    0     1     1     1     
39    76    11    11    14    26    12    3     15    13    
39    113   17    17    19    26    7     2     9     13    
39    114   17    17    19    26    7     2     9     13    
38    248   36    36    37    37    0     1     1     1     
38    119   17    17    18    29    11    1     12    9     
38    72    11    11    14    19    5     3     8     19    
37    241   35    35    36    36    0     1     1     1     
37    98    14    14    18    29    11    4     15    8     
37    65    10    10    12    19    7     2     9     18    
36    234   34    34    35    35    0     1     1     1     
36    91    13    13    17    28    11    4     15    8     
36    106   16    16    18    24    6     2     8     12    
36    58    9     9     11    19    8     2     10    17    
35    227   33    33    34    34    0     1     1     1     
35    134   20    20    21    29    8     1     9     6     
35    107   16    16    18    23    5     2     7     12    
34    220   32    32    33    33    0     1     1     1     
34    69    10    10    13    25    12    3     15    9     
34    100   15    15    17    23    6     2     8     11    
34    99    15    15    16    23    7     1     8     11    
33    213   31    31    32    32    0     1     1     1     
33    62    9     9     12    24    12    3     15    9     
33    93    14    14    16    23    7     2     9     10    
33    130   19    19    21    22    1     2     3     11    
32    206   30    30    31    31    0     1     1     1     
31    199   29    29    30    30    0     1     1     1     
30    192   28    28    29    29    0     1     1     1     
30    123   18    18    20    20    0     2     2     10    
30    84    12    12    15    22    7     3     10    8     
30    55    8     8     10    21    11    2     13    9     
30    86    13    13    16    21    5     3     8     9     
29    185   27    27    28    28    0     1     1     1     
29    116   17    17    19    19    0     2     2     10    
29    92    14    14    15    19    4     1     5     10    
28    178   26    26    27    27    0     1     1     1     
28    77    11    11    14    20    6     3     9     8     
28    85    13    13    14    19    5     1     6     9     
27    171   25    25    26    26    0     1     1     1     
27    79    12    12    15    19    4     3     7     8     
27    78    12    12    13    19    6     1     7     8     
27    109   16    16    17    17    0     1     1     10    
26    164   24    24    25    25    0     1     1     1     
26    71    11    11    13    19    6     2     8     7     
26    48    7     7     9     18    9     2     11    8     
26    51    8     8     10    10    0     2     2     16    
25    157   23    23    24    24    0     1     1     1     
25    64    10    10    12    19    7     2     9     6     
25    41    6     6     8     17    9     2     11    8     
25    70    10    10    11    17    6     1     7     8     
25    57    9     9     10    10    0     1     1     15    
24    150   22    22    23    23    0     1     1     1     
24    44    7     7     9     9     0     2     2     15    
23    143   21    21    22    22    0     1     1     1     
23    47    7     7     8     17    9     1     10    6     
23    50    8     8     9     9     0     1     1     14    
23    37    6     6     9     9     0     3     3     14    
22    136   20    20    21    21    0     1     1     1     
22    63    9     9     11    15    4     2     6     7     
22    56    8     8     9     15    6     1     7     7     
21    129   19    19    20    20    0     1     1     1     
21    49    7     7     9     14    5     2     7     7     
21    60    9     9     10    13    3     1     4     8     
21    43    7     7     8     8     0     1     1     13    
21    30    5     5     8     8     0     3     3     13    
20    122   18    18    19    19    0     1     1     1     
19    115   17    17    18    18    0     1     1     1     
19    53    8     8     9     12    3     1     4     7     
19    36    6     6     7     7     0     1     1     12    
19    23    4     4     7     7     0     3     3     12    
18    108   16    16    17    17    0     1     1     1     
18    29    5     5     7     7     0     2     2     11    
17    101   15    15    16    16    0     1     1     1     
16    94    14    14    15    15    0     1     1     1     
16    34    5     5     8     8     0     3     3     8     
16    22    4     4     6     6     0     2     2     10    
16    16    3     3     5     5     0     2     2     11    
15    87    13    13    14    14    0     1     1     1     
15    46    7     7     8     8     0     1     1     7     
15    42    6     6     8     8     0     2     2     7     
14    80    12    12    13    13    0     1     1     1     
14    27    4     4     7     7     0     3     3     7     
14    9     2     2     4     4     0     2     2     10    
13    73    11    11    12    12    0     1     1     1     
13    13    2     2     4     4     0     2     2     9     
13    33    5     5     7     7     0     2     2     6     
13    20    3     3     6     6     0     3     3     7     
13    35    5     5     6     6     0     1     1     7     
13    15    3     3     4     4     0     1     1     9     
12    66    10    10    11    11    0     1     1     1     
12    26    4     4     6     6     0     2     2     6     
12    2     1     1     3     3     0     2     2     9     
11    59    9     9     10    10    0     1     1     1     
11    40    6     6     7     7     0     1     1     4     
11    28    4     4     5     5     0     1     1     6     
11    21    3     3     5     5     0     2     2     6     
11    8     2     2     3     3     0     1     1     8     
10    52    8     8     9     9     0     1     1     1     
10    19    3     3     5     5     0     2     2     5     
9     45    7     7     8     8     0     1     1     1     
9     6     1     1     3     3     0     2     2     6     
9     14    2     2     3     3     0     1     1     6     
9     1     1     1     2     2     0     1     1     7     
8     38    6     6     7     7     0     1     1     1     
8     12    2     2     3     3     0     1     1     5     
8     7     1     1     2     2     0     1     1     6     
7     31    5     5     6     6     0     1     1     1     
7     5     1     1     2     2     0     1     1     5     
6     24    4     4     5     5     0     1     1     1     
5     17    3     3     4     4     0     1     1     1     
4     10    2     2     3     3     0     1     1     1     
3     3     1     1     2     2     0     1     1     1     
----------------------------------------------------------------

================================================================
                        STATISTICS                             
================================================================

  [1] Order Counts
      +-----------------------+-------+
      | Total Orders          | 280   |
      +-----------------------+-------+
      | Dine-in Grilled (ODG) | 40    |
      | Dine-in Normal  (ODN) | 40    |
      | Takeaway        (OT)  | 40    |
      | Delivery Cold   (OVC) | 40    |
      | Delivery Grilled(OVG) | 40    |
      | Delivery Normal (OVN) | 40    |
      | Combo                 | 40    |
      +-----------------------+-------+

  [2] Chef Counts
      +-----------------------+-------+
      | Total Chefs           | 24    |
      +-----------------------+-------+
      | Normal Chefs    (CN)  | 16    |
      | Special Chefs   (CS)  | 8     |
      +-----------------------+-------+

  [3] Scooter Counts
      +-----------------------+-------+
      | Total Scooters        | 40    |
      +-----------------------+-------+
      | Normal Scooters       | 30    |
